Circuit,Qubit Number,Device,Device Qubit number,Number of circuits compiled to device,Time to transpile single circuit to device (ms),Time to transpile circuit number to device (ms),Circuit partitioning time (ms),Average Fidelity,Minimum Fidelity,Maximum Fidelity
bb84_n8.qasm,8,ibm_brisbane,127,1,6,6,0,0.937586,,
bb84_n8.qasm,8,ibm_brisbane,127,2,6,6,0,0.910343,0.906207,0.914480
bb84_n8.qasm,8,ibm_brisbane,127,4,6,5,0,0.891967,0.766300,0.942053
bb84_n8.qasm,8,ibm_brisbane,127,6,6,51,0,0.906582,0.849790,0.934884
qaoa_n6.qasm,6,ibm_brisbane,127,1,39,39,0,0.599994,,
qaoa_n6.qasm,6,ibm_brisbane,127,2,39,18,0,0.572872,0.478107,0.667636
qaoa_n6.qasm,6,ibm_brisbane,127,4,39,25,0,0.556024,0.383490,0.682386
qaoa_n6.qasm,6,ibm_brisbane,127,6,39,28,0,0.485906,0.355804,0.595058
qpe_n9.qasm,9,ibm_brisbane,127,1,29,29,0,0.346190,,
qpe_n9.qasm,9,ibm_brisbane,127,2,29,17,0,0.349831,0.313577,0.386084
qpe_n9.qasm,9,ibm_brisbane,127,4,29,13,0,0.305612,0.215921,0.361394
qpe_n9.qasm,9,ibm_brisbane,127,6,29,12,0,0.388244,0.161783,0.621920
sat_n7.qasm,3,ibm_brisbane,127,1,28,28,0,0.296279,,
sat_n7.qasm,3,ibm_brisbane,127,2,28,22,0,0.506003,0.455829,0.556178
sat_n7.qasm,3,ibm_brisbane,127,4,28,18,0,0.263175,0.183499,0.350048
sat_n7.qasm,3,ibm_brisbane,127,6,28,39,0,0.395182,0.117035,0.605310
