name,circuit_file,logical_qubits,device_name,status,old_status,new_status,old_attempts,new_attempts,old_time_ms,new_time_ms,old_over_new_time_ratio,old_1q,new_1q,delta_1q_new_minus_old,old_2q,new_2q,delta_2q_new_minus_old,old_depth,new_depth,delta_depth_new_minus_old
adder_n10,/home/hoyt924.linux/qasmtrans/data/test_benchmark/adder_n10.qasm,10,ibmq_toronto_bidirectional,completed,ok,ok,1,1,2.512909,4.435698,0.57,141,109,-32,137,122,-15,226,180,-46
adder_n4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/adder_n4.qasm,4,ibmq_toronto_bidirectional,completed,ok,ok,1,1,1.360319,2.210686,0.62,21,17,-4,16,19,3,23,24,1
adder_n64,/home/hoyt924.linux/qasmtrans/data/test_benchmark/adder_n64.qasm,64,ibm_brisbane_bidirectional,completed,ok,ok,1,1,43.461550,53.943890,0.81,981,757,-224,2351,2186,-165,952,1052,100
bv_n140,/home/hoyt924.linux/qasmtrans/data/test_benchmark/bv_n140.qasm,140,,skipped_too_wide,,,,,,,,,,,,,,,,
bwt_n21,/home/hoyt924.linux/qasmtrans/data/test_benchmark/bwt_n21.qasm,21,ibmq_toronto_bidirectional,partial_failure,ok,timeout,1,2,4227.767270,,,520408,,,628010,,,560181,,
gcm_h6,/home/hoyt924.linux/qasmtrans/data/test_benchmark/gcm_h6.qasm,13,ibmq_toronto_bidirectional,completed,ok,ok,1,1,15.074459,24.308756,0.62,2386,2386,0,1419,1371,-48,2968,2965,-3
ghz_state_n255,/home/hoyt924.linux/qasmtrans/data/test_benchmark/ghz_state_n255.qasm,255,,skipped_too_wide,,,,,,,,,,,,,,,,
hhl_n10,/home/hoyt924.linux/qasmtrans/data/test_benchmark/hhl_n10.qasm,10,ibmq_toronto_bidirectional,completed,ok,ok,1,1,896.216460,1757.618793,0.51,202990,202932,-58,103649,103550,-99,253760,253721,-39
ising_n420,/home/hoyt924.linux/qasmtrans/data/test_benchmark/ising_n420.qasm,420,,skipped_too_wide,,,,,,,,,,,,,,,,
qaoa_n6,/home/hoyt924.linux/qasmtrans/data/test_benchmark/qaoa_n6.qasm,6,ibmq_toronto_bidirectional,completed,ok,ok,1,1,3.787938,5.851989,0.65,1224,816,-408,90,96,6,571,367,-204
qec_sm_n5,/home/hoyt924.linux/qasmtrans/data/test_benchmark/qec_sm_n5.qasm,5,ibmq_toronto_bidirectional,completed,ok,ok,1,1,1.335748,2.159961,0.62,1,1,0,7,7,0,8,8,0
qft_n320,/home/hoyt924.linux/qasmtrans/data/test_benchmark/qft_n320.qasm,320,,skipped_too_wide,,,,,,,,,,,,,,,,
sat_n11,/home/hoyt924.linux/qasmtrans/data/test_benchmark/sat_n11.qasm,11,ibmq_toronto_bidirectional,completed,ok,ok,1,1,9.102322,8.905504,1.02,823,625,-198,645,633,-12,864,766,-98
square_root_n18,/home/hoyt924.linux/qasmtrans/data/test_benchmark/square_root_n18.qasm,18,ibmq_toronto_bidirectional,completed,ok,ok,1,1,21.147129,28.717468,0.74,2819,2143,-676,2812,2524,-288,2965,2523,-442
vqe_uccsd_n28,/home/hoyt924.linux/qasmtrans/data/test_benchmark/vqe_uccsd_n28.qasm,28,ibm_brisbane_bidirectional,partial_failure,ok,timeout,1,2,3828.141474,,,514170,,,624107,,,785187,,
vqe_uccsd_n8,/home/hoyt924.linux/qasmtrans/data/test_benchmark/vqe_uccsd_n8.qasm,8,ibmq_toronto_bidirectional,completed,ok,ok,1,1,56.235410,84.167104,0.67,24136,14728,-9408,6172,6172,0,14056,10428,-3628
