case_id,num_qubits,reps,circuit_file,device_file,layout_tag,level_index,routing_pressure,max_hop,initial_layout,qasmtrans_time_ms,qasmtrans_depth,qasmtrans_1q,qasmtrans_2q,qasmtrans_swap_count,qasmtrans_mapping,qiskit_time_ms,qiskit_depth,qiskit_1q,qiskit_2q,depth_ratio_qt_over_qk,twoq_ratio_qt_over_qk,time_ratio_qt_over_qk
n8_level00,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,identity,0,0.000000,1,"[0, 1, 2, 3, 4, 5, 6, 7]",3.657526,65,272,28,0,"[0, 1, 2, 3, 4, 5, 6, 7]",77.635180,58,208,28,1.120690,1.000000,0.047112
n8_level01,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_001,1,1.428571,5,"[2, 3, 0, 5, 7, 6, 4, 1]",1.943867,98,272,83,19,"[0, 1, 7, 6, 5, 4, 3, 2]",45.473354,87,209,83,1.126437,1.000000,0.042747
n8_level02,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_135,2,1.714286,5,"[5, 3, 6, 7, 2, 1, 4, 0]",1.538535,89,272,58,10,"[7, 6, 5, 4, 3, 2, 1, 0]",43.689236,81,212,56,1.098765,1.035714,0.035215
n8_level03,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_066,3,2.000000,5,"[1, 5, 4, 0, 3, 6, 7, 2]",1.597076,131,272,103,25,"[0, 1, 2, 3, 4, 5, 6, 7]",46.318267,109,220,96,1.201835,1.072917,0.034480
n8_level04,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_166,4,2.142857,7,"[2, 1, 7, 0, 3, 5, 4, 6]",1.515285,88,272,53,9,"[0, 1, 2, 3, 4, 5, 6, 7]",41.957618,80,211,51,1.100000,1.039216,0.036115
n8_level05,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_230,5,2.428571,5,"[0, 4, 5, 1, 3, 7, 2, 6]",1.477994,74,272,55,9,"[0, 1, 2, 3, 4, 5, 6, 7]",38.037427,65,203,55,1.138462,1.000000,0.038856
n8_level06,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_165,6,2.571429,7,"[7, 0, 4, 5, 1, 3, 6, 2]",1.555493,113,272,71,15,"[7, 6, 5, 4, 3, 2, 1, 0]",39.416212,74,203,67,1.527027,1.059701,0.039463
n8_level07,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_178,7,3.142857,7,"[2, 6, 1, 4, 0, 7, 3, 5]",1.462494,101,272,94,22,"[0, 1, 2, 3, 4, 5, 6, 7]",53.830736,98,213,60,1.030612,1.566667,0.027168
n12_level00,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,identity,0,0.000000,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",2.002367,81,420,44,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",63.617321,75,322,44,1.080000,1.000000,0.031475
n12_level01,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_128,1,2.454545,10,"[1, 11, 10, 5, 9, 6, 4, 3, 0, 2, 8, 7]",2.372324,146,420,155,37,"[11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",59.505921,107,318,125,1.364486,1.240000,0.039867
