case_id,num_qubits,reps,circuit_file,device_file,layout_tag,level_index,routing_pressure,max_hop,initial_layout
n8_level00,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,identity,0,0.000000,1,"[0, 1, 2, 3, 4, 5, 6, 7]"
n8_level01,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_001,1,1.428571,5,"[2, 3, 0, 5, 7, 6, 4, 1]"
n8_level02,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_135,2,1.714286,5,"[5, 3, 6, 7, 2, 1, 4, 0]"
n8_level03,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_066,3,2.000000,5,"[1, 5, 4, 0, 3, 6, 7, 2]"
n8_level04,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_166,4,2.142857,7,"[2, 1, 7, 0, 3, 5, 4, 6]"
n8_level05,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_230,5,2.428571,5,"[0, 4, 5, 1, 3, 7, 2, 6]"
n8_level06,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_165,6,2.571429,7,"[7, 0, 4, 5, 1, 3, 6, 2]"
n8_level07,8,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n8.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n8_bidirectional.json,random_178,7,3.142857,7,"[2, 6, 1, 4, 0, 7, 3, 5]"
n12_level00,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,identity,0,0.000000,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
n12_level01,12,4,/home/hoyt924.linux/qasmtrans/data/test_benchmark/routing_pressure_vqe/vqe_layoutstress_n12.qasm,/home/hoyt924.linux/qasmtrans/data/devices/routing_pressure/line_n12_bidirectional.json,random_128,1,2.454545,10,"[1, 11, 10, 5, 9, 6, 4, 3, 0, 2, 8, 7]"
