circuit,qt_1q,qt_2q,qt_depth,qk_o3_1q,qk_o3_2q,qk_o3_depth,depth_ratio_qt_over_qk_o3,twoq_ratio_qt_over_qk_o3,oneq_ratio_qt_over_qk_o3
vqe_uccsd_n10.qasm,1034,54,204,342,54,222,0.918919,1.000000,3.023392
vqe_uccsd_n100.qasm,27920,3606,7345,3936,594,2478,2.964084,6.070707,7.093496
vqe_uccsd_n110.qasm,32746,4173,7833,11106,2646,7113,1.101223,1.577098,2.948496
vqe_uccsd_n120.qasm,42336,5715,8480,10899,2612,6686,1.268322,2.187979,3.884393
vqe_uccsd_n20.qasm,3088,273,559,732,114,468,1.194444,2.394737,4.218579
vqe_uccsd_n30.qasm,3222,213,482,1140,174,732,0.658470,1.224138,2.826316
vqe_uccsd_n40.qasm,10928,1320,2571,1578,234,984,2.612805,5.641026,6.925222
vqe_uccsd_n50.qasm,13618,1593,5008,1902,294,1212,4.132013,5.418367,7.159832
vqe_uccsd_n60.qasm,16620,2028,5225,2376,354,1506,3.469456,5.728814,6.994949
vqe_uccsd_n70.qasm,21002,2721,4934,2736,414,1728,2.855324,6.572464,7.676170
vqe_uccsd_n80.qasm,26944,3528,10011,3084,474,1968,5.086890,7.443038,8.736706
vqe_uccsd_n90.qasm,29670,3831,8647,3546,534,2244,3.853387,7.174157,8.367174
