circuit,qasmtrans_reported_ms,qasmtrans_elapsed_ms,qiskit_o1_time_ms,qiskit_o2_time_ms,qiskit_o3_time_ms,one_qubit,two_qubit,depth
vqe_uccsd_n10.qasm,0.953,5.700,55.503,79.927,102.659,1034,54,204
vqe_uccsd_n100.qasm,48.442,79.440,372.658,4382.023,21747.449,34160,4500,9827
vqe_uccsd_n110.qasm,53.912,84.177,778.131,5290.793,23300.529,29290,3477,6591
vqe_uccsd_n120.qasm,83.445,127.661,844.951,5224.862,22882.653,47712,6561,11795
vqe_uccsd_n20.qasm,1.998,7.825,88.458,151.732,429.980,2344,129,402
vqe_uccsd_n30.qasm,4.661,13.070,128.468,239.623,2857.918,5562,603,1432
vqe_uccsd_n40.qasm,10.249,21.724,180.795,291.640,3617.721,9440,1149,2646
vqe_uccsd_n50.qasm,11.357,22.377,227.656,377.667,4517.156,8674,876,2018
vqe_uccsd_n60.qasm,13.851,29.935,242.866,484.810,5551.401,15492,1812,5097
vqe_uccsd_n70.qasm,22.679,41.458,279.739,571.472,7368.840,17942,2187,5150
vqe_uccsd_n80.qasm,30.729,53.813,318.281,655.498,11730.495,23116,2865,5108
vqe_uccsd_n90.qasm,38.730,65.100,342.735,1046.880,26372.169,28602,3609,5228
