circuit,optimization_level,time_ms,depth,one_qubit_gates,two_qubit_gates,backend,backend_num_qubits,circuit_qubits,circuit_clbits
square_root_n18_basis.qasm,1,1226.337,2395,1516,2358,ibmq_toronto,27,18,13
square_root_n18_basis.qasm,2,156.743,2554,2429,1998,ibmq_toronto,27,18,13
square_root_n18_basis.qasm,3,182.820,2555,2465,1997,ibmq_toronto,27,18,13
vqe_uccsd_n8.qasm,1,61.796,7947,4392,5792,ibmq_toronto,27,8,0
vqe_uccsd_n8.qasm,2,189.080,8016,7467,5066,ibmq_toronto,27,8,0
vqe_uccsd_n8.qasm,3,275.510,7986,7414,5073,ibmq_toronto,27,8,0
sat_n11.qasm,1,11.107,756,479,594,ibmq_toronto,27,11,4
sat_n11.qasm,2,41.509,741,791,481,ibmq_toronto,27,11,4
sat_n11.qasm,3,48.103,836,845,481,ibmq_toronto,27,11,4
bwt_n21.qasm,1,5399.828,486581,277233,584677,ibmq_toronto,27,21,42
bwt_n21.qasm,2,26574.160,512877,494203,511703,ibmq_toronto,27,21,42
bwt_n21.qasm,3,35051.925,517831,491392,516606,ibmq_toronto,27,21,42
gcm_h6.qasm,1,18.640,2929,2386,1182,ibmq_toronto,27,13,1
gcm_h6.qasm,2,102.245,2021,2282,791,ibmq_toronto,27,13,1
gcm_h6.qasm,3,111.230,2037,2265,796,ibmq_toronto,27,13,1
hhl_n7.qasm,1,5.834,912,794,365,ibmq_toronto,27,7,7
hhl_n7.qasm,2,17.613,367,351,183,ibmq_toronto,27,7,7
hhl_n7.qasm,3,20.094,367,334,182,ibmq_toronto,27,7,7
qaoa_n6.qasm,1,7.393,214,324,81,ibmq_toronto,27,6,6
qaoa_n6.qasm,2,9.642,116,200,60,ibmq_toronto,27,6,6
qaoa_n6.qasm,3,11.220,134,214,64,ibmq_toronto,27,6,6
qec_sm_n5.qasm,1,4.959,10,4,4,ibmq_toronto,27,5,5
qec_sm_n5.qasm,2,6.061,10,4,4,ibmq_toronto,27,5,5
qec_sm_n5.qasm,3,8.957,10,4,4,ibmq_toronto,27,5,5
adder_n4.qasm,1,4.806,20,17,13,ibmq_toronto,27,4,4
adder_n4.qasm,2,5.969,19,16,13,ibmq_toronto,27,4,4
adder_n4.qasm,3,8.183,19,16,13,ibmq_toronto,27,4,4
adder_n10.qasm,1,7.052,194,101,128,ibmq_toronto,27,10,5
adder_n10.qasm,2,11.984,196,146,106,ibmq_toronto,27,10,5
adder_n10.qasm,3,19.349,199,143,106,ibmq_toronto,27,10,5
adder_n64.qasm,1,44.263,1994,5960,1229,ibm_brisbane,127,64,128
adder_n64.qasm,2,105.975,1406,3844,1049,ibm_brisbane,127,64,128
adder_n64.qasm,3,126.559,1413,3634,962,ibm_brisbane,127,64,128
