circuit,optimization_level,time_ms,depth,one_qubit_gates,two_qubit_gates,backend,backend_num_qubits,circuit_qubits,circuit_clbits
square_root_n18_basis.qasm,1,4606.766,2395,1516,2358,ibmq_toronto,27,18,13
square_root_n18_basis.qasm,2,131.017,2554,2429,1998,ibmq_toronto,27,18,13
square_root_n18_basis.qasm,3,162.755,2555,2465,1997,ibmq_toronto,27,18,13
vqe_uccsd_n8.qasm,1,57.110,7947,4392,5792,ibmq_toronto,27,8,0
vqe_uccsd_n8.qasm,2,171.173,8016,7467,5066,ibmq_toronto,27,8,0
vqe_uccsd_n8.qasm,3,267.052,7986,7414,5073,ibmq_toronto,27,8,0
sat_n11.qasm,1,11.202,756,479,594,ibmq_toronto,27,11,4
sat_n11.qasm,2,33.113,741,791,481,ibmq_toronto,27,11,4
sat_n11.qasm,3,42.479,836,845,481,ibmq_toronto,27,11,4
bwt_n21.qasm,1,4948.278,486581,277233,584677,ibmq_toronto,27,21,42
bwt_n21.qasm,2,26124.313,512877,494203,511703,ibmq_toronto,27,21,42
bwt_n21.qasm,3,35562.689,517831,491392,516606,ibmq_toronto,27,21,42
gcm_h6.qasm,1,16.633,2929,2386,1182,ibmq_toronto,27,13,1
gcm_h6.qasm,2,91.820,2021,2282,791,ibmq_toronto,27,13,1
gcm_h6.qasm,3,103.254,2037,2265,796,ibmq_toronto,27,13,1
hhl_n7.qasm,1,5.982,912,794,365,ibmq_toronto,27,7,7
hhl_n7.qasm,2,14.430,367,351,183,ibmq_toronto,27,7,7
hhl_n7.qasm,3,20.624,367,334,182,ibmq_toronto,27,7,7
qaoa_n6.qasm,1,6.590,214,324,81,ibmq_toronto,27,6,6
qaoa_n6.qasm,2,9.005,116,200,60,ibmq_toronto,27,6,6
qaoa_n6.qasm,3,11.220,134,214,64,ibmq_toronto,27,6,6
qec_sm_n5.qasm,1,5.133,10,4,4,ibmq_toronto,27,5,5
qec_sm_n5.qasm,2,5.810,10,4,4,ibmq_toronto,27,5,5
qec_sm_n5.qasm,3,8.277,10,4,4,ibmq_toronto,27,5,5
adder_n4.qasm,1,4.649,20,17,13,ibmq_toronto,27,4,4
adder_n4.qasm,2,6.222,19,16,13,ibmq_toronto,27,4,4
adder_n4.qasm,3,6.394,19,16,13,ibmq_toronto,27,4,4
adder_n10.qasm,1,7.113,194,101,128,ibmq_toronto,27,10,5
adder_n10.qasm,2,10.756,196,146,106,ibmq_toronto,27,10,5
adder_n10.qasm,3,19.186,199,143,106,ibmq_toronto,27,10,5
adder_n64.qasm,1,40.636,1994,5960,1229,ibm_brisbane,127,64,128
adder_n64.qasm,2,103.731,1406,3844,1049,ibm_brisbane,127,64,128
adder_n64.qasm,3,126.439,1413,3634,962,ibm_brisbane,127,64,128
